Accession Number,DF1,EF1,DF2,EF2,DF3,EF3,DF4,EF4,DF5,EF5,DF6,EF6
Q06315,---,---,---,---,---,---,0.00E+00,---,2.35E-05,---,0.00E+00,0.00E+00
Q06554,---,---,---,---,---,---,1.65E-05,---,0.00E+00,---,0.00E+00,---
P22276,---,---,---,---,---,---,2.47E-05,---,0.00E+00,---,0.00E+00,---
Q04511,---,---,---,---,---,---,1.91E-05,---,3.62E-05,---,0.00E+00,0.00E+00
P53632,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,---
P25579,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,0.00E+00,0.00E+00
P26309,---,---,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,---
P36113,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,---
Q03330,---,---,---,---,---,---,9.36E-05,---,0.00E+00,---,0.00E+00,---
P31115,---,---,---,---,---,---,5.78E-05,---,0.00E+00,---,2.90E-05,---
Q99257,---,---,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,---
P48236,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,---
P53067,---,---,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,---
P38254,---,---,---,---,---,---,0.00E+00,---,3.08E-05,---,0.00E+00,---
P34232,---,---,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,---
P38141,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,0.00E+00,0.00E+00
P48581,---,---,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,---
P39551,---,---,---,---,---,---,0.00E+00,---,7.78E-05,---,0.00E+00,---
P38803,---,---,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,---
P36062,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,3.71E-05,---
P06779,---,---,---,---,---,---,0.00E+00,---,4.10E-05,---,0.00E+00,---
Q06151,---,---,---,---,---,---,8.10E-05,---,0.00E+00,---,0.00E+00,---
P38090,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,0.00E+00,0.00E+00
P00425,---,---,---,---,---,---,0.00E+00,---,4.80E-04,---,0.00E+00,0.00E+00
P28004,---,---,---,---,---,---,0.00E+00,---,6.12E-05,---,0.00E+00,---
Q05871,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,9.17E-05,---
P33749,---,---,---,---,---,---,4.07E-05,---,0.00E+00,---,0.00E+00,---
P39516,---,---,---,---,---,---,9.66E-04,---,1.72E-04,1.28E+00,7.33E-04,---
