,,,,,,,,,,"(+) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 100 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.1 mM cys",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.8 mM NaCl",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 3.0 mM NaCl",,,,,
Proteasome subunit beta type-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUP3 PE=1 SV=1,PUP3 YER094C,P25451,5.03,205,22604.87,3,0,Cytoplasm. Nucleus. ,"endopeptidase activator activity; endoplasmic reticulum membrane; nucleus; proteasomal ubiquitin-dependent protein catabolic process; proteasomal ubiquitin-independent protein catabolic process; proteasome core complex, beta-subunit complex; proteasome storage granule; threonine-type endopeptidase activity",3.87E-04,3.36E-04,0.00E+00,0.00E+00,---,5.59E-04,1.90E-04,2.30E-04,7.54E-05,2.43E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Protein SAN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAN1 PE=1 SV=1,SAN1 YDR143C YD2943.02C,P22470,5.05,610,65618.02,0,0,0,cytoplasm; nucleus; nucleus-associated proteasomal ubiquitin-dependent protein catabolic process; protein ubiquitination involved in ubiquitin-dependent protein catabolic process; ubiquitin-protein ligase activity; zinc ion binding,0.00E+00,0.00E+00,4.51E-05,7.81E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Uncharacterized protein YAE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YAE1 PE=1 SV=1,YAE1 YJR067C J1805,P47118,5.08,141,16076.05,0,0,Cytoplasm. Nucleus. ,cytoplasm; nucleus; ribosomal large subunit biogenesis; translational initiation,0.00E+00,0.00E+00,1.32E-04,2.28E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Importin alpha re-exporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CSE1 PE=1 SV=2,CSE1 YGL238W HRC135,P33307,5.09,960,109356.21,0,0,Cytoplasm. Nucleus. ,cell division; cytoplasm; importin-alpha export receptor activity; integral to membrane; mitosis; nuclear envelope; nuclear pore,2.65E-05,4.60E-05,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
"Lon protease homolog, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIM1 PE=1 SV=2",PIM1 LON YBL022C YBL0440,P36775,5.1,1133,115774.84,3,0,Mitochondrion matrix. ,ATP binding; ATP-dependent peptidase activity; cellular response to oxidative stress; chaperone-mediated protein complex assembly; misfolded or incompletely synthesized protein catabolic process; mitochondrial light strand promoter anti-sense binding; mitochondrial nucleoid; mitochondrion organization; oxidation-dependent protein catabolic process; protein homooligomerization; regulation of mitochondrial DNA replication; response to hypoxia; sequence-specific DNA binding; serine-type endopeptidase activity; single-stranded DNA binding; single-stranded RNA binding,0.00E+00,0.00E+00,1.51E-05,2.61E-05,0.00E+00,2.24E-05,3.87E-05,8.20E-06,1.42E-05,2.73E+00,---,---,---,---,---,0.00E+00,0.00E+00,4.08E-05,1.45E-05,0.00E+00,1.02E-05,1.77E-05,8.00E-06,1.39E-05,1.28E+00,0.00E+00,0.00E+00,8.27E-06,1.43E-05,0.00E+00,
DNA replication licensing factor MCM7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCM7 PE=1 SV=4,MCM7 CDC47 YBR202W YBR1441,P38132,5.14,845,94943.13,3,0,Cytoplasm. Nucleus. ,ATP binding; DNA replication initiation; DNA replication origin binding; DNA replication preinitiation complex; DNA strand elongation involved in DNA replication; DNA unwinding involved in replication; MCM complex; cell cycle; chromatin binding; chromatin silencing at silent mating-type cassette; chromatin silencing at telomere; cytoplasm; double-strand break repair via break-induced replication; four-way junction helicase activity; pre-replicative complex; pre-replicative complex assembly; regulation of transcription from RNA polymerase II promoter; replication fork protection complex; single-stranded DNA-dependent ATPase activity; transcription cofactor activity,0.00E+00,0.00E+00,2.02E-05,3.50E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Protein MLP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MLP1 PE=1 SV=2,MLP1 YKR095W YKR415,Q02455,5.14,1875,218456.24,0,0,Nucleus. ,DNA repair; integral to membrane; negative regulation of protein import into nucleus during spindle assembly checkpoint; nuclear envelope; nuclear pore; nuclear retention of unspliced pre-mRNA at the site of transcription; nucleoplasm; poly(A)+ mRNA export from nucleus; protein import into nucleus; protein localization to nuclear pore; ribonucleoprotein complex binding; telomere tethering at nuclear periphery; transcriptional activation by promoter-terminator looping,2.05E-05,2.04E-05,1.86E-05,2.08E-05,1.10E+00,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,4.79E-06,8.30E-06,0.00E+00,0.00E+00,0.00E+00,1.02E-05,1.77E-05,0.00E+00,0.00E+00,0.00E+00,1.98E-05,1.72E-05,0.00E+00,
Nucleolar protein 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP6 PE=1 SV=1,NOP6 YDL213C D1018,Q07623,10.08,225,25215.82,0,0,Nucleus â€º nucleolus. ,90S preribosome; nucleolus; nucleotide binding; rRNA binding; rRNA processing; ribosomal small subunit biogenesis; snoRNA binding,4.01E-04,3.88E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
F-actin-capping protein subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAP1 PE=1 SV=1,CAP1 YKL007W YKL155,P28495,5.18,268,30699.34,0,0,0,F-actin capping protein complex; actin cortical patch; actin cytoskeleton organization; actin filament; actin filament binding; barbed-end actin filament capping; cellular bud neck; cellular bud tip; mating projection tip; plasma membrane,1.02E-04,1.77E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Elongation factor 1 alpha-like protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HBS1 PE=1 SV=2,HBS1 YKR084C YKR404,P32769,5.2,611,68729.59,0,0,Cytoplasm. ,"GTP binding; GTPase activity; cytoplasm; nonfunctional rRNA decay; nuclear-transcribed mRNA catabolic process, no-go decay; regulation of translation; ribosome disassembly; translation elongation factor activity",0.00E+00,0.00E+00,5.70E-05,6.38E-05,0.00E+00,0.00E+00,0.00E+00,9.27E-05,4.54E-05,0.00E+00,---,---,---,---,---,0.00E+00,0.00E+00,6.07E-05,5.27E-05,0.00E+00,0.00E+00,0.00E+00,2.90E-05,5.02E-05,0.00E+00,0.00E+00,0.00E+00,6.05E-05,6.89E-05,0.00E+00,
Cytochrome c oxidase assembly protein COX19 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX19 PE=1 SV=1,COX19 YLL018C-A,Q3E731,5.22,98,11105.47,0,0,Cytoplasm. Mitochondrion intermembrane space. ,copper chaperone activity; cytosol; metal ion transport; mitochondrial intermembrane space; mitochondrial respiratory chain complex IV assembly,0.00E+00,0.00E+00,6.46E-04,1.80E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,2.61E-04,4.51E-04,6.54E-04,8.92E-04,3.98E-01,9.77E-04,7.73E-04,6.43E-04,6.99E-04,1.52E+00,2.46E-04,4.26E-04,4.78E-04,1.66E-04,5.14E-01,
Cyclin-dependent kinase inhibitor FAR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAR1 PE=1 SV=2,FAR1 YJL157C J0565,P21268,5.25,830,94572.24,0,0,0,cell cycle arrest in response to pheromone; cell division; cyclin-dependent protein serine/threonine kinase inhibitor activity; cytoplasm; maintenance of protein location in nucleus; mating projection tip; membrane; nucleus; pheromone-dependent signal transduction involved in conjugation with cellular fusion; zinc ion binding,0.00E+00,0.00E+00,2.06E-05,3.57E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Probable chaperone protein HSP31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP31 PE=1 SV=1,HSP31 YDR533C D9719.36,Q04432,5.26,237,25669.85,3,0,0,cysteine-type peptidase activity; proteolysis; response to stress; unfolded protein binding,0.00E+00,0.00E+00,3.72E-04,2.67E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,4.49E-04,1.11E-04,6.98E-04,1.01E-04,6.44E-01,7.07E-04,2.36E-04,8.15E-04,1.44E-04,8.67E-01,7.74E-04,2.55E-04,5.91E-04,1.94E-04,1.31E+00,
Glycolipid 2-alpha-mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRE2 PE=1 SV=1,KRE2 MNT1 YDR483W D8035.26,P27809,5.26,442,51386.7,2,Protein modification; protein glycosylation. ,Golgi apparatus membrane; Single-pass type II membrane protein. ,"Golgi apparatus; Golgi membrane; N-glycan processing; alpha-1,2-mannosyltransferase activity; cell wall mannoprotein biosynthetic process; integral to membrane; protein O-linked glycosylation",0.00E+00,0.00E+00,1.16E-04,2.01E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Regulator of rDNA transcription protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRT14 PE=1 SV=1,RRT14 YIL127C,P40470,9.83,206,23845.14,0,0,Nucleus â€º nucleolus. ,"nucleolus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",3.20E-04,1.15E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
DASH complex subunit DAD3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DAD3 PE=1 SV=1,DAD3 YBR233W-A,P69850,5.3,94,10848.25,0,0,Nucleus. Cytoplasm â€º cytoskeleton â€º spindle. Chromosome â€º centromere â€º kinetochore. ,DASH complex; cell division; chromosome segregation; cytoplasm; microtubule; mitosis; mitotic spindle; mitotic spindle organization in nucleus; regulation of microtubule polymerization or depolymerization; spindle,0.00E+00,0.00E+00,3.64E-04,6.30E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
mRNA transport factor GFD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GFD1 PE=1 SV=1,GFD1 YMR255W YM9920.09,Q04839,9.76,188,21571.36,0,0,Cytoplasm. Nucleus â€º nuclear pore complex. Nucleus membrane; Peripheral membrane protein; Cytoplasmic side. ,cytoplasm; mRNA export from nucleus; nuclear membrane; nuclear pore; protein transport,5.56E-04,2.33E-04,4.88E-05,8.45E-05,1.14E+01,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Epsin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENT2 PE=1 SV=1,ENT2 YLR206W,Q05785,5.32,613,71807.36,0,0,Cytoplasm. Membrane; Peripheral membrane protein. ,actin cortical patch; actin cortical patch assembly; actin filament organization; clathrin binding; endocytosis; lipid binding; mating projection tip; membrane,6.32E-05,1.10E-04,4.28E-05,4.19E-05,1.48E+00,---,---,---,---,---,---,---,---,---,---,6.49E-05,6.29E-05,3.00E-04,1.26E-04,2.17E-01,0.00E+00,0.00E+00,3.59E-04,4.97E-05,0.00E+00,6.28E-05,1.09E-04,3.53E-04,1.01E-04,1.78E-01,
Actin-like protein ARP6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARP6 PE=1 SV=1,ARP6 YLR085C L2393 L9449.13,Q12509,5.33,438,50043.79,0,0,Cytoplasm. Nucleus. ,"Swr1 complex; cytoplasm; histone exchange; nucleosome binding; regulation of transcription, DNA-dependent; transcription, DNA-dependent",5.82E-05,1.01E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Peptidyl-prolyl cis-trans isomerase FPR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FPR2 PE=1 SV=1,FPR2 FKB2 YDR519W D9719.24,P32472,5.34,135,12446.38,5,0,Endoplasmic reticulum membrane; Peripheral membrane protein. ,FK506 binding; endoplasmic reticulum membrane; nucleus; peptidyl-prolyl cis-trans isomerase activity; protein folding,1.02E-04,1.76E-04,1.18E-03,6.55E-04,8.62E-02,0.00E+00,0.00E+00,6.30E-04,1.95E-04,0.00E+00,---,---,---,---,---,4.74E-04,4.34E-04,8.33E-04,7.60E-04,5.69E-01,3.61E-04,4.15E-04,6.74E-04,4.91E-04,5.35E-01,3.63E-04,4.07E-04,1.12E-03,3.40E-04,3.25E-01,
Elongator complex protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ELP2 PE=1 SV=1,ELP2 TOT2 YGR200C G7725,P42935,5.35,788,89410.56,0,0,Cytoplasm. Nucleus. ,"Elongator holoenzyme complex; cytoplasm; nucleus; protein transport; protein urmylation; regulation of transcription from RNA polymerase II promoter; tRNA wobble uridine modification; transcription, DNA-dependent",3.48E-05,6.03E-05,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
UPF0743 protein YCR087C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCR087C-A PE=1 SV=1,YCR087C-A YCRX16C,P37263,9.54,153,17738.41,0,0,Nucleus â€º nucleolus. ,nucleolus; zinc ion binding,7.73E-04,2.59E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Na(+)/H(+) antiporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NHA1 PE=1 SV=1,NHA1 YLR138W L3149 L9606.4,Q99271,5.36,985,109369.11,0,0,Membrane; Multi-pass membrane protein. ,cellular potassium ion homeostasis; integral to membrane; membrane raft; plasma membrane; response to osmotic stress; sodium:hydrogen antiporter activity,0.00E+00,0.00E+00,6.33E-05,5.73E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Mevalonate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG12 PE=1 SV=1,ERG12 RAR1 YMR208W YM8261.02,P07277,5.36,443,48459.51,2,Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via mevalonate pathway; isopentenyl diphosphate from (R)-mevalonate: step 1/3. ,Cytoplasm. ,"ATP binding; cytoplasm; ergosterol biosynthetic process; farnesyl diphosphate biosynthetic process, mevalonate pathway; isopentenyl diphosphate biosynthetic process, mevalonate pathway; mevalonate kinase activity; nucleus",6.20E-05,1.07E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,2.08E-04,4.61E-05,0.00E+00,0.00E+00,---,2.15E-04,4.36E-05,0.00E+00,0.00E+00,---,2.47E-04,7.48E-05,0.00E+00,0.00E+00,---,
Proteasome subunit beta type-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE3 PE=1 SV=2,PRE3 YJL001W J1407,P38624,5.36,215,21494.22,3,0,Cytoplasm. Nucleus. ,"endopeptidase activity; endoplasmic reticulum membrane; nucleus; proteasomal ubiquitin-dependent protein catabolic process; proteasomal ubiquitin-independent protein catabolic process; proteasome core complex, beta-subunit complex; proteasome storage granule; threonine-type endopeptidase activity",1.78E-04,3.08E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
"Altered inheritance of mitochondria protein 13, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM13 PE=1 SV=1",AIM13 YFR011C,P43594,5.4,170,18855.25,0,0,Mitochondrion inner membrane; Peripheral membrane protein; Intermembrane side. ,cristae formation; extrinsic to mitochondrial inner membrane; mitochondrial crista junction; mitochondrial intermembrane space,0.00E+00,0.00E+00,2.13E-04,9.62E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,3.01E-04,3.44E-04,6.48E-04,1.48E-04,4.64E-01,4.97E-04,2.53E-04,2.13E-04,3.69E-04,2.33E+00,5.70E-04,3.17E-04,1.62E-04,2.81E-04,3.51E+00,
"Oligo-1,6-glucosidase IMA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMA3 PE=1 SV=1",IMA3 YIL172C,P0CW40,5.39,589,68567.47,3,0,Cytoplasm. ,"cation binding; cytoplasm; disaccharide catabolic process; maltose metabolic process; oligo-1,6-glucosidase activity",0.00E+00,0.00E+00,3.11E-05,5.39E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Glycogen phosphorylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPH1 PE=1 SV=4,GPH1 YPR160W P9584.1,P06738,5.41,902,103144.13,2,0,0,cytoplasm; glycogen catabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding,2.80E-04,2.43E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
"3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIB3 PE=1 SV=1",RIB3 YDR487C D8035.30,Q99258,5.46,208,22567.65,4,Cofactor biosynthesis; riboflavin biosynthesis; 2-hydroxy-3-oxobutyl phosphate from D-ribulose 5-phosphate: step 1/1. ,0,"3,4-dihydroxy-2-butanone-4-phosphate synthase activity; aerobic respiration; cytosol; metal ion binding; mitochondrial intermembrane space; riboflavin biosynthetic process",1.32E-04,2.29E-04,1.75E-04,8.11E-05,7.56E-01,---,---,---,---,---,---,---,---,---,---,1.27E-03,3.68E-04,6.58E-04,4.68E-04,1.93E+00,1.55E-03,3.61E-04,5.64E-04,3.94E-04,2.75E+00,1.17E-03,3.71E-04,4.52E-04,1.62E-04,2.58E+00,
RNA annealing protein YRA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YRA2 PE=1 SV=1,YRA2 YKL214C,P36036,9.4,203,23777.6,0,0,Nucleus. ,DNA binding; RNA binding; nucleotide binding; nucleus; poly(A)+ mRNA export from nucleus,8.29E-04,4.59E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,1.26E-04,2.18E-04,0.00E+00,0.00E+00,---,1.80E-04,1.80E-04,0.00E+00,0.00E+00,---,5.93E-05,1.03E-04,0.00E+00,0.00E+00,---,
Zinc-regulated transporter 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZRT1 PE=2 SV=1,ZRT1 YGL255W NRC376,P32804,5.5,376,41581.68,0,0,Membrane; Multi-pass membrane protein. ,high affinity zinc uptake transmembrane transporter activity; high-affinity zinc ion transport; integral to plasma membrane,0.00E+00,0.00E+00,7.22E-05,7.42E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
"3-hydroxyanthranilate 3,4-dioxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BNA1 PE=1 SV=1",BNA1 HAD1 YJR025C J1550,P47096,5.5,177,20234.98,1,Cofactor biosynthesis; NAD(+) biosynthesis; quinolinate from L-kynurenine: step 3/3. ,Cytoplasm. Nucleus. ,"3-hydroxyanthranilate 3,4-dioxygenase activity; anthranilate metabolic process; cytoplasm; de novo NAD biosynthetic process from tryptophan; ferrous iron binding; nucleus; quinolinate biosynthetic process; tryptophan catabolic process",0.00E+00,0.00E+00,1.45E-04,2.51E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
RNA polymerase II transcriptional coactivator SUB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUB1 PE=1 SV=1,SUB1 TSP1 YMR039C YM9532.04C,P54000,5.51,292,33102.37,0,0,Nucleus. ,DNA binding; RNA polymerase III transcriptional preinitiation complex assembly; double-strand break repair via nonhomologous end joining; hyperosmotic response; nucleus; positive regulation of transcription elongation from RNA polymerase II promoter; positive regulation of transcription from RNA polymerase II promoter; positive regulation of transcription from RNA polymerase III promoter; regulation of transcription from RNA polymerase II promoter in response to stress; termination of RNA polymerase II transcription; transcription coactivator activity,1.41E-04,2.44E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Protein DOM34 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DOM34 PE=1 SV=2,DOM34 YNL001W N2016,P33309,5.51,386,44057.86,3,0,Cytoplasm. ,"cell division; cytoplasm; endoribonuclease activity; meiosis; metal ion binding; mitosis; nonfunctional rRNA decay; nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay; nuclear-transcribed mRNA catabolic process, no-go decay; regulation of translation; ribosome disassembly; translation",3.30E-05,5.71E-05,9.02E-05,1.01E-04,3.66E-01,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Cluster of Ribosome biogenesis protein SSF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSF1 PE=1 SV=1 (SSF1_YEAST),SSF1 YHR066W,P38789,9.28,453,51764.02,0,0,Nucleus â€º nucleolus. ,conjugation with cellular fusion; nucleolus; rRNA binding; regulation of cell size; ribosomal large subunit assembly,2.06E-04,1.43E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Pre-mRNA-splicing factor SPP381 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPP381 PE=1 SV=1,SPP381 YBR152W YBR1202,P38282,5.52,291,33771.84,0,0,Nucleus. ,RNA binding; U4/U6 x U5 tri-snRNP complex; cytosol; generation of catalytic spliceosome for first transesterification step; spliceosomal complex,2.20E-04,2.01E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Putative oxidoreductase TDA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDA3 PE=1 SV=2,TDA3 BTN3 YHR009C,P38758,5.52,523,57613.81,1,0,Cytoplasm. Late endosome. ,"late endosome; oxidoreductase activity; retrograde transport, endosome to Golgi",9.88E-05,1.71E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,7.60E-05,4.57E-06,0.00E+00,0.00E+00,---,1.37E-04,1.39E-04,0.00E+00,0.00E+00,---,9.49E-05,4.53E-05,0.00E+00,0.00E+00,---,
